no,Main,Sub,"type ",basic,moderate,strict,custom,level
8.4.3,Logging and Auditing,Configure auditd Rules,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.4.4,Logging and Auditing,Configure auditd Rules,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.4.5,Logging and Auditing,Configure auditd Rules,ENUM,['Configured'],['Configured'],['Configured'],['Configured'],basic
8.4.6,Logging and Auditing,Configure auditd Rules,ENUM,['present'],['present'],['present'],['present'],basic
8.4.7,Logging and Auditing,Configure auditd Rules,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
8.4.8,Logging and Auditing,Configure auditd Rules,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
8.4.9,Logging and Auditing,Configure auditd Rules,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
8.5.1,Logging and Auditing,Configure auditd File Access,ENUM,['0640'],['0600'],['0600'],['0640'],basic
8.5.10,Logging and Auditing,Configure auditd File Access,ENUM,['root'],['adm'],['audit'],['root'],basic
8.5.2,Logging and Auditing,Configure auditd File Access,ENUM,['root'],['root'],['root'],['root'],basic
8.5.3,Logging and Auditing,Configure auditd File Access,ENUM,['adm'],['root'],['root'],['adm'],basic
8.5.4,Logging and Auditing,Configure auditd File Access,ENUM,['0750'],['0700'],['0700'],['0750'],basic
8.5.5,Logging and Auditing,Configure auditd File Access,ENUM,['0640'],['0640'],['0600'],['0640'],basic
8.5.6,Logging and Auditing,Configure auditd File Access,ENUM,['root'],['root'],['root'],['root'],basic
8.5.7,Logging and Auditing,Configure auditd File Access,ENUM,['root'],['root'],['root'],['root'],basic
8.5.8,Logging and Auditing,Configure auditd File Access,ENUM,['1'],['1'],['2'],['1'],basic
8.5.9,Logging and Auditing,Configure auditd File Access,ENUM,['root'],['root'],['root'],['root'],basic
8.6.1,Logging and Auditing,Configure Integrity Checking,ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
8.6.2,Logging and Auditing,Configure Integrity Checking,ENUM,['Scheduled'],['Scheduled'],['Scheduled'],['Scheduled'],basic
8.6.3,Logging and Auditing,Configure Integrity Checking,ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
9.1.1,System Maintenance,System File Permissions,ENUM,['644'],['640'],['640'],['644'],basic
9.1.10,System Maintenance,System File Permissions,ENUM,['root:root 600'],['root:root 600'],['root:root 600'],['root:root 600'],basic
9.1.11,System Maintenance,System File Permissions,ENUM,['Secured'],['Secured'],['Secured'],['Secured'],basic
9.1.12,System Maintenance,System File Permissions,RANGE,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",basic
9.1.13,System Maintenance,System File Permissions,RANGE,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",basic
9.1.2,System Maintenance,System File Permissions,ENUM,['640'],['600'],['600'],['640'],basic
9.1.3,System Maintenance,System File Permissions,ENUM,['644'],['644'],['644'],['644'],basic
9.1.4,System Maintenance,System File Permissions,ENUM,['640'],['600'],['600'],['640'],basic
9.1.5,System Maintenance,System File Permissions,ENUM,['0640'],['0640'],"['0640', '0000']",['0640'],basic
9.1.6,System Maintenance,System File Permissions,ENUM,['640 root:shadow'],['640 root:shadow'],['640 root:shadow'],['640 root:shadow'],basic
9.1.7,System Maintenance,System File Permissions,ENUM,['0:root:shadow'],['0:root:shadow'],['0:root:shadow'],['0:root:shadow'],basic
9.1.8,System Maintenance,System File Permissions,ENUM,['640'],['0'],['0'],['640'],basic
9.1.9,System Maintenance,System File Permissions,ENUM,['644'],['644'],['640'],['644'],basic
9.2.1,System Maintenance,Local User and Group Settings,ENUM,['on'],['on'],['on'],['on'],basic
9.2.10,System Maintenance,Local User and Group Settings,ENUM,['027'],['077'],['077'],['027'],basic
9.2.2,System Maintenance,Local User and Group Settings,RANGE,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",basic
9.2.3,System Maintenance,Local User and Group Settings,ENUM,['true'],['true'],['true'],['true'],basic
9.2.4,System Maintenance,Local User and Group Settings,ENUM,['empty'],['empty'],['empty'],['empty'],basic
9.2.5,System Maintenance,Local User and Group Settings,RANGE,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",basic
9.2.6,System Maintenance,Local User and Group Settings,RANGE,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",basic
9.2.7,System Maintenance,Local User and Group Settings,ENUM,['No Duplicates Found'],['No Duplicates Found'],['No Duplicates Found'],['No Duplicates Found'],basic
9.2.8,System Maintenance,Local User and Group Settings,ENUM,['Compliant'],['Compliant'],['Compliant'],['Compliant'],basic
9.2.9,System Maintenance,Local User and Group Settings,ENUM,['Compliant'],['Compliant'],['Compliant'],['Compliant'],basic
