no,Main,Sub,"type ",basic,moderate,strict,custom,level
5.2.7,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['%SystemRoot%\System32\logfiles\firewall\publicfw.log'],['%SystemRoot%\System32\logfiles\firewall\publicfw.log'],['%SystemRoot%\System32\logfiles\firewall\publicfw.log'],['%SystemRoot%\System32\logfiles\firewall\publicfw.log'],basic
5.2.9,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['Yes'],['Yes'],['Yes'],['Yes'],basic
5.2.10,"Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security)  ",Public Profile,ENUM,['Yes'],['Yes'],['Yes'],['Yes'],basic
6.1.1,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.2,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.3,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success'],['Success and Failure'],['Success and Failure'],['Success'],basic
6.1.4,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.5,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success'],['Success and Failure'],['Success and Failure'],['Success'],basic
6.1.6,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success'],['Success and Failure'],['Success and Failure'],['Success'],basic
6.1.7,Advanced Audit Policy Configuration,Account Logon,ENUM,"['Failure', 'Success and Failure']",['Success and Failure'],['Success and Failure'],"['Failure', 'Success and Failure']",basic
6.1.8,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.9,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.10,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.11,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success'],['Success and Failure'],['Success and Failure'],['Success'],basic
6.1.12,Advanced Audit Policy Configuration,Account Logon,ENUM,['Failure'],['Success and Failure'],['Success and Failure'],['Failure'],basic
6.1.13,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.14,Advanced Audit Policy Configuration,Account Logon,ENUM,['Success and Failure'],['Success and Failure'],['Success and Failure'],['Success and Failure'],basic
6.1.15,Advanced Audit Policy Configuration,Account Logon,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
6.1.16,Advanced Audit Policy Configuration,Account Logon,ENUM,['4'],['4'],['4'],['4'],basic
6.1.17,Advanced Audit Policy Configuration,Account Logon,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
6.2.1,Advanced Audit Policy Configuration,AutoPlay Policies,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
6.2.2,Advanced Audit Policy Configuration,AutoPlay Policies,ENUM,['Enabled: Do not execute any autorun commands'],['Enabled: Do not execute any autorun commands'],['Enabled: Do not execute any autorun commands'],['Enabled: Do not execute any autorun commands'],basic
6.2.3,Advanced Audit Policy Configuration,AutoPlay Policies,ENUM,['Enabled: All drives'],['Enabled: All drives'],['Enabled: All drives'],['Enabled: All drives'],basic
7.1.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
7.2.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
7.3.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
7.4.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
7.5.1,"Microsoft Defender Application Guard (formerly Windows Defender Application Guard)  ",,ENUM,['2'],['1'],['0'],['2'],basic
